Fund Family,Parent Company,2025
10X Investments (Pty) Ltd,10X Investments (Pty) Ltd,52366319886.0
1nvest Fund Managers (Pty) Ltd,1nvest Fund Managers (Pty) Ltd,50315661248.0
27four Investment Managers,27four Investment Managers,4447307413.0
2IP Independent Investment Partners (Pty) Ltd,2IP Independent Investment Partners (Pty) Ltd,3974198905.0
36ONE Asset Management (Pty) Ltd,36ONE Asset Management (Pty) Ltd,38552269581.0
3B Asset Management,3B Asset Management,6945006653.0
4D Wealth Management,4D Wealth Management,929995438.0
A S Sure Investment Services,A S Sure Investment Services,1272488716.0
AE Investment Managers (Pty) Ltd,AE Investment Managers (Pty) Ltd,1431310519.0
AG Capital (Pty) Ltd,AG Capital (Pty) Ltd,3933091879.0
ALUWANI Capital Partners,ALUWANI Capital Partners,9398595753.0
ATON Wealth Solutions (Pty) Ltd,ATON Wealth Solutions (Pty) Ltd,933583965.0
Abax Investments Proprietary Limited,Abax Investments Proprietary Limited,36008263035.0
Aboutir Wealth (Pty) Ltd.,Aboutir Wealth (Pty) Ltd.,675805819.0
Accorn Investment Management,Accorn Investment Management,3892220893.0
Adviceworx (Pty) Ltd,Adviceworx (Pty) Ltd,7600691527.0
Aeon Investment Management,Aeon Investment Management,1984475936.0
Affinity Capital Management (Pty) Ltd,Affinity Capital Management (Pty) Ltd,2177224508.0
African Alliance Advisory (Pty) Ltd.,African Alliance Advisory (Pty) Ltd.,329434939.0
Aikya Investment Management Ltd,Aikya Investment Management Ltd,16846220687.0
Alexander Forbes Investment Ltd,Alexander Forbes Investment Ltd,12327928000.0
Alexander Forbes Investments Jersey Limited,Alexander Forbes Investments Jersey Limited,3579079350.0
All Weather Capital,All Weather Capital,5456209135.0
Allan Gray Australia Pty Ltd,Allan Gray,35823084937.0
Allan Gray Proprietary Limited,Allan Gray,476465851952.0
Allan Gray Bermuda Limited,Allan Gray,4624546369.0
Allan Gray International Proprietary Limited,Allan Gray,3470393542.0
Allianz Global Investors GmbH,Allianz,976366250242.0
Alpha Private Capital (Pty) Ltd,Alpha Private Capital (Pty) Ltd,698413686.0
Alquity Investment Management Limited,Alquity Investment Management Limited,446050214.0
Altinvest MultiAsset Fund Management,Altinvest MultiAsset Fund Management,1242530064.0
Alusi Asset Management (Pty) Ltd,Alusi Asset Management (Pty) Ltd,453669954.0
Amity Investment Solutions (Pty) Ltd,Amity Investment Solutions (Pty) Ltd,1738187211.0
Ampersand Asset Management,Ampersand Asset Management,6857551563.0
Amplify Investment Partners (Pty) Ltd,Amplify,77978966562.0
AnBro Capital Investments,AnBro Capital Investments,64392212.0
Analytics,Analytics,1728502320.0
Anchor Capital (Pty) Limited,Anchor Capital (Pty) Limited,38353786313.0
Apex Investment Consulting SA (Pty) Ltd,Apex Investment Consulting SA (Pty) Ltd,8783140311.0
Arcus Investment Limited,Arcus Investment Limited,16205459482.0
Argon Asset Management,Argon Asset Management,1556449333.0
Arnold du Bruin and Associates,Arnold du Bruin and Associates,778029196.0
Artisan Partners Limited Partnership,Artisan Partners Limited Partnership,2203803243.0
Ashburton (Jersey) Limited,Ashburton,8390216029.0
Ashburton Fund Managers ( Pty) Ltd,Ashburton,84785129318.0
Ashmore Investment Management (Ireland) Limited,Ashmore Investment Management (Ireland) Limited,6242721483.0
AssetMix Solutions,AssetMix Solutions,1506658070.0
Assetbase International (Pty) Ltd,Assetbase International (Pty) Ltd,2414822009.0
Associated Portfolio Solutions (Pty) Ltd,Associated Portfolio Solutions (Pty) Ltd,3834560327.0
Atomos Investments Limited,Atomos Investments Limited,1500702054.0
Aureus Nobilis,Aureus Nobilis,301443070.0
Auris Gestion,Auris Gestion,309119395.0
Aurora Capital SA (Pty) Ltd,Aurora Capital SA (Pty) Ltd,119465950.0
Autus Fund Managers (Pty) Ltd,Autus Fund Managers (Pty) Ltd,1450846820.0
Aylett & Company (Pty) Ltd,Aylett & Company (Pty) Ltd,12889681156.0
BIFM Unit Trust (Proprietary) Limited,BIFM Unit Trust (Proprietary) Limited,60770836.0
Baillie Gifford Investment Management (Europe) Limited,Baillie Gifford Investment Management (Europe) Limited,124598263314.0
Balondolozi Investment Services (Pty) Ltd,Balondolozi Investment Services (Pty) Ltd,672462402.0
Bank Julius Bär & Co. AG,Bank Julius Bär & Co. AG,103220983786.0
Baobab Investment Management (Pty) Ltd,Baobab Investment Management (Pty) Ltd,218521596.0
Baroque Financial Services,Baroque Financial Services,523121428.0
Bartizan Capital,Bartizan Capital,2025010698.0
Bateleur Capital (Pty) Ltd,Bateleur Capital (Pty) Ltd,14852942227.0
Baymont Wealth (Pty) Ltd,Baymont Wealth (Pty) Ltd,501594447.0
Bellamont Asset Management,Bellamont Asset Management,220447804.0
Benguela Global Fund Managers,Benguela Global Fund Managers,1061427854.0
BlackRock Asset Management Ireland Ltd,BlackRock,2636945177093.0
BlackRock (Luxembourg) SA,BlackRock,115438330322.0
Blue Quadrant Capital Management,Blue Quadrant Capital Management,269434811.0
BlueAlpha Investment Management Pty Ltd,BlueAlpha Investment Management Pty Ltd,2029377596.0
Bovest Capital (Pty) Ltd,Bovest Capital (Pty) Ltd,988786950.0
Brantam Financial Services,Brantam Financial Services,506337359.0
Brenthurst Capital,Brenthurst Capital,1562863769.0
CS Asset Management,CS Asset Management,1707092500.0
Cadiz Asset Management,Cadiz Asset Management,6001384782.0
Caleo Capital,Caleo Capital,320456169.0
Camissa Asset Management (Pty) Limited,Camissa Asset Management (Pty) Limited,32520493439.0
Canaccord Genuity Wealth (Intl) Ltd,Canaccord Genuity Wealth (Intl) Ltd,15198502147.0
Canaccord Genuity Wealth Management,Canaccord Genuity Wealth Management,5251302550.0
Capita Asset Management,Capita Asset Management,772287518.0
Capita Asset Management (Pty) Ltd,Capita Asset Management (Pty) Ltd,579239496.0
Capital Link Partners (Pty) Ltd,Capital Link Partners (Pty) Ltd,1011397279.0
Cartesian Capital (Pty) Ltd,Cartesian Capital (Pty) Ltd,788631125.0
Catalyst Fund Managers (Pty) Limited,Catalyst Fund Managers (Pty) Limited,4437894169.0
Catalyst Fund Managers Global (Pty) Limited,Catalyst Fund Managers Global (Pty) Limited,2951221886.0
Causeway Securities Limited,Causeway Securities Limited,295768976.0
Cedar Lane Capital (Pty) Ltd,Cedar Lane Capital (Pty) Ltd,1295989644.0
Celerity Investments (Pty) Ltd,Celerity Investments (Pty) Ltd,3661298893.0
Celtis Financial Services,Celtis Financial Services,1765548945.0
Centaur Asset Management (Pty) Ltd,Centaur Asset Management (Pty) Ltd,12733511135.0
Chrome Wealth Strategy Solutions (Pty) Ltd,Chrome Wealth Strategy Solutions (Pty) Ltd,4720652037.0
Ci Global Fund Managers ICC Ltd,Ci Global Fund Managers ICC Ltd,23406501411.0
Cinnabar Investment Management (Pty) Ltd,Cinnabar Investment Management (Pty) Ltd,3328643611.0
Citadel Guernsey Ltd,Citadel Guernsey Ltd,3172238048.0
Citadel Investment Services (Pty) Ltd,Citadel Investment Services (Pty) Ltd,22052890381.0
Citrine Fund Managers,Citrine Fund Managers,1559682439.0
Clearance Capital Limited,Clearance Capital Limited,839110779.0
ClucasGray (Pty) Ltd,ClucasGray (Pty) Ltd,869173699.0
ClucasGray Asset Management,ClucasGray Asset Management,4513742263.0
Cogence (Pty) Ltd,Cogence (Pty) Ltd,30023559654.0
Cohesive Capital (Pty) Ltd,Cohesive Capital (Pty) Ltd,182691787.0
Colchester Global Investors Ltd,Colchester Global Investors Ltd,24204935246.0
Colourfield Liability Solutions,Colourfield Liability Solutions,58253840.0
Community Growth Mgmt Co,Community Growth Mgmt Co,213259668.0
Consilium Capital SA,Consilium Capital SA,126871803.0
Constellation Asset Management,Constellation Asset Management,10532035.0
Contrarius Investment Management Ltd,Contrarius Investment Management Ltd,35670141518.0
Contrarius Investment Services,Contrarius Investment Services,122939035.0
Cordatus Capital (Pty) Ltd,Cordatus Capital (Pty) Ltd,2110600799.0
Corion Capital (Pty) Ltd,Corion Capital (Pty) Ltd,3299824175.0
Coronation Asset Management (Pty) Ltd,Coronation,369124624143.0
Coronation Global Fund Managers (Ireland) Limited,Coronation,34680458373.0
Counterpoint Boutique Pty Ltd.,Counterpoint Boutique Pty Ltd.,459307574.0
Cratos Asset Management (Pty) Ltd,Cratos Asset Management (Pty) Ltd,61368658.0
Credo Capital Limited,Credo Capital Limited,9497952563.0
Curate Investments (Pty) Ltd,Curate Investments (Pty) Ltd,24538531148.0
Custodian (Pty) Ltd,Custodian (Pty) Ltd,2255970559.0
Definitive Asset Management Proprietary Limited,Definitive Asset Management Proprietary Limited,322433953.0
Delta 4 Financial Services,Delta 4 Financial Services,991472194.0
Denker Capital,Denker Capital,5964326049.0
Destiny Asset Managers,Destiny Asset Managers,261792425.0
Deton Private Wealth (Pty) Ltd,Deton Private Wealth (Pty) Ltd,1070430898.0
Differential Capital (Pty) Ltd,Differential Capital (Pty) Ltd,4624129.0
Dinamika Fonds Bestuurders (Pty) Ltd,Dinamika Fonds Bestuurders (Pty) Ltd,1702602048.0
Discovery Life Investment Services (Pty) Ltd,Discovery Life Investment Services (Pty) Ltd,109821683059.0
Dodge & Cox,Dodge & Cox,195281079665.0
Dotport,Dotport,627867551.0
Driehaus Capital Management LLC,Driehaus Capital Management LLC,1472818080.0
Dynasty Asset Management (South Africa),Dynasty Asset Management (South Africa),1032645487.0
ETM Capital,ETM Capital,272727337.0
Edge Asset Management (Pty) Ltd,Edge Asset Management (Pty) Ltd,799110441.0
Edgestone Asset Management (Pty) Ltd,Edgestone Asset Management (Pty) Ltd,141139477.0
Edify Fund Managers (Pty) Ltd,Edify Fund Managers (Pty) Ltd,133129851.0
Efficient Select (Pty) Ltd,Efficient Select (Pty) Ltd,3933666258.0
Element Investment Managers (Pty) Ltd,Element,774966196.0
Engelberg (Pty) Ltd,Engelberg (Pty) Ltd,826340097.0
Equilibrium Investment Management (Pty) Ltd,Equilibrium Investment Management (Pty) Ltd,15159190902.0
Excalibur Portfolio Managers,Excalibur Portfolio Managers,5335931603.0
Excelsia Capital (Pty) Ltd,Excelsia Capital (Pty) Ltd,1516697316.0
FAL Invest,FAL Invest,338693527.0
FG Asset Management Ltd,FG Asset Management Ltd,7611619254.0
FIM Capital Ltd,FIM Capital Ltd,2913263646.0
FNB CIS Manco (Proprietary) Ltd,FNB CIS Manco (Proprietary) Ltd,14313243213.0
FVV Capital (Pty) Ltd,FVV Capital (Pty) Ltd,1159324305.0
Fairtree Asset Management (Pty) Ltd.,Fairtree Asset Management (Pty) Ltd.,80257625640.0
FedGroup Management Company,FedGroup Management Company,2585188124.0
Fibonacci Asset Management,Fibonacci Asset Management,561199231.0
"FIL Investment Management (Luxembourg) S.A., Ireland Branch",Fidelity/FIL,207383623238.0
Fidelity (FIL Inv Mgmt (Lux) S.A.),Fidelity/FIL,293553702356.0
Financial Fitness Portfolios (Pty) Ltd,Financial Fitness Portfolios (Pty) Ltd,2849364587.0
Findotec (Pty) Ltd,Findotec (Pty) Ltd,540284498.0
First Avenue Investment Managers,First Avenue Investment Managers,307503980.0
Fisher Dugmore Securities (Pty) Ltd,Fisher Dugmore Securities (Pty) Ltd,2907893156.0
Flagship Asset Management,Flagship Asset Management,2364813103.0
Florin Capital Management,Florin Capital Management,18936052.0
Foord Asset Management (Singapore) Pte. Limited,Foord,3665915895.0
Foord Asset Management (Guernsey) Limited,Foord,31956310859.0
Foord Asset Management (Pty) Ltd,Foord,54233099030.0
FOORD ASSET MANAGEMENT,Foord,6061523895.0
Foster Wealth Management (Pty) Ltd,Foster Wealth Management (Pty) Ltd,114616215.0
Franklin Templeton International Services S.à r.l.,Franklin Templeton,825827177985.0
Franklin Templeton Investments Corp,Franklin Templeton,1377397521.0
Fund Wealth (Pty) Ltd,Fund Wealth (Pty) Ltd,517832670.0
Fundsmith Investment Services Limited,Fundsmith,119757560801.0
Fundsmith LLP,Fundsmith,368424977738.0
Fussell Asset Management (Pty) Ltd,Fussell Asset Management (Pty) Ltd,4847931688.0
GQG Partners LLC,GQG Partners LLC,70143007919.0
Galileo Capital,Galileo Capital,84318234.0
Genera Capital (PTY) Ltd,Genera Capital (PTY) Ltd,930806629.0
GinsGlobal Inv Mgmt ( Mauritius) Ltd,GinsGlobal Inv Mgmt ( Mauritius) Ltd,9205307903.0
Ginsburg & Selby Private Wealth,Ginsburg & Selby Private Wealth,1208957082.0
Glacier Management Company,Glacier Management Company,9862808795.0
Global & Local,Global & Local,222639406.0
Goldman Sachs Asset Management B.V.,Goldman Sachs,398524304655.0
Goldman Sachs Asset Management Fund Services Ltd,Goldman Sachs,1762524109631.0
Gradidge-Mahura Asset Management (Pty) Ltd,Gradidge-Mahura Asset Management (Pty) Ltd,1430243629.0
Granate Asset Management (Pty) Ltd,Granate Asset Management (Pty) Ltd,19089633471.0
Grant Thornton Capital (GTC),Grant Thornton Capital (GTC),7760215555.0
Graviton Financial Partners,Graviton Financial Partners,6181109959.0
GraySwan Financial Services (Pty) Ltd,GraySwan Financial Services (Pty) Ltd,1571742905.0
Gryphon Asset Management (Pty) Ltd,Gryphon Asset Management (Pty) Ltd,5230514421.0
Guernsey International Fund Management,Guernsey International Fund Management,504892108.0
Guernsey International Investment IC Limited,Guernsey International Investment IC Limited,3053144834.0
Guinness Asset Management Limited,Guinness Asset Management Limited,137490013400.0
Guinness Asset Management Limited,Guinness Asset Management Limited,139789544783.0
H4 Collective Investments (RF) (Pty)Ltd,H4 Collective Investments (RF) (Pty)Ltd,25564629244.0
Harvard House Investment Management,Harvard House Investment Management,938928537.0
Helfin Global Capital (Pty) Ltd,Helfin Global Capital (Pty) Ltd,612152783.0
Helfin Private Wealth (Pty) Ltd,Helfin Private Wealth (Pty) Ltd,835812998.0
High Street Asset Management (Pty) Ltd,High Street Asset Management (Pty) Ltd,1308132998.0
Hollard Investment Managers,Hollard Investment Managers,13925334562.0
ID Capital (Pty) Ltd,ID Capital (Pty) Ltd,1697890202.0
IP Fund Managers Guernsey Limited,IP Fund Managers Guernsey Limited,7575969644.0
Imalivest (Pty) Ltd,Imalivest (Pty) Ltd,493585572.0
Imalivest Asset Management,Imalivest Asset Management,433922855.0
Independent Alternatives Investment Managers (Pty) Ltd,Independent Alternatives Investment Managers (Pty) Ltd,227562380.0
Independent Securities (Pty) Limited,Independent Securities (Pty) Limited,2678312638.0
Instit (Pty) Ltd,Instit (Pty) Ltd,8763845965.0
Integral Asset Management,Integral Asset Management,129279293.0
Integrity Asset Management (Pty) Limited,Integrity Asset Management (Pty) Limited,1081556974.0
Intellivest,Intellivest,427906943.0
Interactive Portfolios (Pty) Ltd,Interactive Portfolios (Pty) Ltd,1792023711.0
Investec Investment Management (Pty) Ltd,Investec,153125431909.0
Investhouse International (Pty) Ltd,Investhouse International (Pty) Ltd,878106794.0
Investin Asset Management,Investin Asset Management,366746655.0
Itransact Fund Managers,Itransact Fund Managers,6838530842.0
Iza Capital Partners (Pty) Ltd,Iza Capital Partners (Pty) Ltd,76504630.0
JBL Asset Management,JBL Asset Management,3379299399.0
Jupiter Asset Management (Europe) Limited,Jupiter Asset Management (Europe) Limited,22345537971.0
Jupiter Asset Management International S.A.,Jupiter Asset Management International S.A.,1115121196.0
Khumo Capital (Pty) Ltd,Khumo Capital (Pty) Ltd,90320478.0
Korner Perspective,Korner Perspective,139740327.0
Kruger International,Kruger International,5195066924.0
Landseer Asset Management UK LLP,Landseer Asset Management UK LLP,26746738737.0
Laurium Capital (Pty) Ltd,Laurium Capital (Pty) Ltd,12549031195.0
Legacy Africa Fund Managers (Pty) Ltd,Legacy Africa Fund Managers (Pty) Ltd,77670387.0
Lima Mbeu Investment Managers,Lima Mbeu Investment Managers,108094260.0
Lindsell Train Ltd,Lindsell Train Ltd,8566474795.0
Lodestar Fund Managers (Pty) Ltd,Lodestar Fund Managers (Pty) Ltd,1263348957.0
Long Beach Capital (Pty) Ltd,Long Beach Capital (Pty) Ltd,663424160.0
Lunar Capital,Lunar Capital,174079650.0
Lynx Fund Managers (Pty) Ltd,Lynx Fund Managers (Pty) Ltd,2228107680.0
M&G Securities Ltd,M&G Securities Ltd,70994225837.0
M1 Capital Investments (Pty) Limited,M1 Capital Investments (Pty) Limited,397877856.0
